Sample_id,Sample_label
1,6
2,3
3,1
4,1
5,1
6,8
7,5
8,1
9,1
10,1
11,1
12,1
13,1
14,4
15,1
16,1
17,1
18,1
19,3
20,1
21,2
22,6
23,1
24,1
25,1
26,4
27,6
28,8
29,1
30,1
31,4
32,1
33,1
34,1
35,4
36,1
37,1
38,1
39,1
40,4
41,1
42,2
43,1
44,1
45,1
46,2
47,2
48,1
49,1
50,1
51,2
52,1
53,1
54,8
55,1
56,3
57,4
58,1
59,3
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,2
69,2
70,1
71,1
72,1
73,1
74,1
75,1
76,2
77,1
78,3
79,6
80,1
81,9
82,1
83,1
84,1
85,3
86,1
87,4
88,6
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,6
98,1
99,1
100,8
101,1
102,4
103,1
104,1
105,2
106,1
107,1
108,1
109,2
110,1
111,1
112,2
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,4
124,1
125,3
126,6
127,1
128,1
129,1
130,2
131,6
132,1
133,1
134,5
135,2
136,2
137,6
138,3
139,6
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,2
150,1
151,1
152,1
153,1
154,1
155,2
156,1
157,1
158,1
159,1
160,4
161,1
162,1
163,1
164,2
165,1
166,4
167,1
168,1
169,1
170,5
171,1
172,1
173,8
174,1
175,1
176,2
177,1
178,1
179,1
180,1
181,1
182,1
183,2
184,2
185,1
186,1
187,3
188,1
189,1
190,4
191,1
192,2
193,1
194,1
195,1
196,3
197,2
198,1
199,1
200,1
201,2
202,1
203,4
204,1
205,1
206,1
207,1
208,1
209,1
210,6
211,1
212,4
213,1
214,1
215,1
216,1
217,8
218,1
219,6
220,1
221,6
222,1
223,1
224,1
225,4
226,2
227,1
228,1
229,3
230,1
231,1
232,8
233,1
234,1
235,1
236,1
237,3
238,6
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,2
248,2
249,1
250,2
251,1
252,1
253,1
254,3
255,1
256,1
257,1
258,1
259,1
260,1
261,6
262,1
263,1
264,1
265,2
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,4
275,1
276,1
277,1
278,1
279,4
280,1
281,5
282,1
283,1
284,1
285,1
286,2
287,5
288,1
289,1
290,1
291,1
292,1
293,9
294,1
295,1
296,4
297,1
298,1
299,1
300,1
301,1
302,1
303,6
304,1
305,6
306,1
307,1
308,1
309,1
310,1
311,1
312,3
313,1
314,1
315,2
316,3
317,2
318,1
319,2
320,1
321,1
322,2
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,4
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,3
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,6
348,1
349,5
350,1
351,1
352,3
353,1
354,1
355,1
356,1
357,1
358,3
359,1
360,1
361,1
362,1
363,1
364,3
365,2
366,3
367,1
368,2
369,1
370,6
371,1
372,1
373,1
374,1
375,1
376,1
377,2
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,6
387,3
388,1
389,1
390,4
391,1
392,1
393,4
394,1
395,4
396,1
397,1
398,6
399,1
400,1
401,2
402,1
403,4
404,2
405,1
406,2
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,6
418,1
419,1
420,5
421,1
422,1
423,1
424,1
425,1
426,2
427,2
428,4
429,3
430,1
431,1
432,1
433,1
434,4
435,8
436,1
437,1
438,3
439,6
440,1
441,1
442,1
443,8
444,1
445,6
446,3
447,1
448,1
449,9
450,1
451,1
452,2
453,1
454,1
455,1
456,3
457,3
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,8
471,1
472,1
473,1
474,1
475,2
476,1
477,1
478,8
479,4
480,1
481,3
482,8
483,6
484,2
485,1
486,3
487,1
488,1
489,1
490,1
491,1
492,2
493,1
494,3
495,1
496,1
497,3
498,5
499,1
500,1
501,1
502,1
503,1
504,1
505,4
506,1
507,1
508,8
509,2
510,1
511,1
512,6
513,1
514,1
515,3
516,1
517,2
518,1
519,1
520,1
521,3
522,1
523,1
524,1
525,1
526,1
527,1
528,8
529,1
530,1
531,2
532,1
533,2
534,1
535,1
536,1
537,1
538,1
539,3
540,1
541,3
542,3
543,4
544,1
545,1
546,1
547,2
548,1
549,5
550,1
551,1
552,4
553,1
554,1
555,1
556,2
557,1
558,1
559,4
560,1
561,1
562,1
563,2
564,6
565,1
566,1
567,1
568,4
569,2
570,4
571,8
572,1
573,1
574,1
575,1
576,2
577,2
578,1
579,5
580,2
581,1
582,4
583,1
584,1
585,2
586,8
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,6
598,1
599,4
600,1
601,1
602,1
603,1
604,1
605,2
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,2
614,6
615,1
616,6
617,1
618,1
619,2
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,5
628,1
629,5
630,4
631,4
632,1
633,2
634,2
635,1
636,1
637,3
638,1
639,1
640,1
641,1
642,4
643,1
644,8
645,1
646,1
647,2
648,2
649,1
650,1
651,3
652,1
653,6
654,2
655,2
656,1
657,1
658,1
659,1
660,4
661,9
662,1
663,4
664,1
665,1
666,1
667,5
668,1
669,9
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,2
685,4
686,1
687,1
688,5
689,2
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,2
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,2
713,1
714,1
715,1
716,1
717,1
718,6
719,1
720,1
721,6
722,2
723,1
724,1
725,2
726,1
727,6
728,1
729,1
730,1
731,1
732,1
733,1
734,4
735,1
736,1
737,1
738,2
739,1
740,1
741,1
742,1
743,1
744,1
745,4
746,3
747,1
748,8
749,1
750,1
751,8
752,2
753,1
754,1
755,5
756,1
757,1
758,1
759,1
760,1
761,2
762,1
763,1
764,6
765,1
766,6
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,8
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,9
785,2
786,1
787,1
788,3
789,1
790,1
791,1
792,1
793,1
794,3
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,4
804,1
805,1
806,2
807,1
808,1
809,1
810,1
811,1
812,1
813,2
814,1
815,2
816,1
817,1
818,1
819,1
820,4
821,1
822,1
823,2
824,1
825,6
826,1
827,1
828,1
829,1
830,2
831,1
832,6
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,2
842,1
843,1
844,1
845,1
846,5
847,1
848,1
849,1
850,3
851,4
852,1
853,1
854,1
855,1
856,1
857,1
858,4
859,3
860,1
861,1
862,1
863,1
864,1
865,1
866,3
867,1
868,6
869,8
870,2
871,1
872,1
873,1
874,1
875,6
876,8
877,1
878,8
879,1
880,1
881,2
882,4
883,4
884,2
885,1
886,3
887,4
888,1
889,1
890,2
891,1
892,4
893,1
894,5
895,1
896,1
897,1
898,1
899,2
900,1
901,1
902,2
903,2
904,1
905,1
906,2
907,1
908,6
909,1
910,1
911,1
912,2
913,1
914,1
915,1
916,8
917,1
918,4
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,5
929,2
930,1
931,1
932,1
933,1
934,1
935,4
936,1
937,1
938,2
939,1
940,1
941,5
942,1
943,1
944,3
945,1
946,1
947,1
948,4
949,1
950,2
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,2
962,1
963,1
964,1
965,1
966,1
967,6
968,6
969,1
970,2
971,1
972,2
973,1
974,9
975,1
976,9
977,4
978,2
979,6
980,2
981,2
982,1
983,1
984,4
985,1
986,1
987,4
988,8
989,2
990,1
991,1
992,1
993,1
994,1
995,4
996,1
997,1
998,1
999,3
1000,1
1001,1
1002,1
1003,1
1004,3
1005,6
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,4
1013,2
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,3
1023,1
1024,1
1025,5
1026,1
1027,1
1028,1
1029,1
1030,1
1031,3
