Sample_id,Sample_label
1,1
2,5
3,1
4,1
5,1
6,1
7,3
8,1
9,1
10,1
11,2
12,9
13,1
14,1
15,6
16,1
17,1
18,1
19,1
20,1
21,1
22,6
23,4
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,5
36,2
37,1
38,1
39,1
40,2
41,1
42,6
43,1
44,1
45,1
46,1
47,3
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,2
56,4
57,2
58,1
59,1
60,1
61,1
62,1
63,5
64,6
65,1
66,4
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,2
77,1
78,2
79,4
80,5
81,1
82,1
83,1
84,1
85,2
86,1
87,1
88,2
89,3
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,2
99,1
100,1
101,1
102,1
103,2
104,1
105,5
106,1
107,9
108,1
109,1
110,1
111,2
112,4
113,1
114,9
115,1
116,4
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,6
127,1
128,1
129,8
130,1
131,1
132,1
133,1
134,3
135,1
136,1
137,2
138,8
139,1
140,1
141,1
142,1
143,6
144,1
145,2
146,1
147,1
148,1
149,6
150,2
151,1
152,1
153,1
154,8
155,5
156,1
157,1
158,1
159,1
160,1
161,2
162,1
163,2
164,2
165,4
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,7
174,1
175,1
176,4
177,1
178,3
179,3
180,1
181,1
182,1
183,1
184,7
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,9
195,2
196,1
197,3
198,1
199,6
200,1
201,1
202,1
203,6
204,1
205,1
206,1
207,6
208,1
209,2
210,7
211,1
212,8
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,8
222,1
223,1
224,1
225,1
226,8
227,1
228,2
229,5
230,1
231,1
232,2
233,1
234,1
235,1
236,1
237,2
238,1
239,1
240,1
241,1
242,2
243,1
244,1
245,1
246,1
247,3
248,6
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,9
257,2
258,1
259,1
260,1
261,2
262,1
263,1
264,1
265,1
266,5
267,1
268,1
269,1
270,2
271,1
272,1
273,1
274,1
275,5
276,1
277,9
278,3
279,1
280,1
281,2
282,1
283,1
284,1
285,1
286,5
287,1
288,1
289,1
290,1
291,1
292,1
293,7
294,1
295,1
296,5
297,1
298,1
299,3
300,1
301,1
302,6
303,3
304,8
305,2
306,4
307,1
308,1
309,1
310,1
311,1
312,4
313,1
314,1
315,4
316,2
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,2
327,1
328,1
329,1
330,1
331,1
332,1
333,2
334,1
335,1
336,1
337,1
338,1
339,1
340,8
341,1
342,1
343,1
344,7
345,1
346,1
347,8
348,4
349,1
350,1
351,1
352,4
353,1
354,1
355,1
356,1
357,3
358,6
359,2
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,2
370,1
371,9
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,5
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,2
394,1
395,1
396,1
397,9
398,3
399,1
400,1
401,1
402,1
403,6
404,1
405,6
406,2
407,1
408,1
409,1
410,1
411,1
412,7
413,10
414,1
415,1
416,1
417,6
418,1
419,3
420,1
421,1
422,1
423,1
424,1
425,1
426,6
427,8
428,1
429,1
430,8
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,5
440,5
441,1
442,4
443,1
444,1
445,1
446,1
447,1
448,10
449,1
450,1
451,1
452,5
453,6
454,1
455,1
456,5
457,2
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,6
472,9
473,1
474,1
475,10
476,7
477,1
478,3
479,1
480,2
481,5
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,9
490,1
491,10
492,1
493,1
494,8
495,1
496,1
497,1
498,1
499,6
500,7
501,1
502,1
503,6
504,1
505,3
506,1
507,1
508,1
509,8
510,1
511,1
512,9
513,1
514,1
515,8
516,1
517,1
518,2
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,2
527,10
528,4
529,1
530,8
531,4
532,1
533,1
534,1
535,1
536,1
537,4
538,1
539,1
540,1
541,2
542,2
543,4
544,1
545,1
546,1
547,7
548,1
549,7
550,4
551,1
552,1
553,3
554,6
555,1
556,9
557,1
558,7
559,8
560,2
561,1
562,1
563,6
564,7
565,1
566,1
567,1
568,10
569,9
570,5
571,1
572,1
573,1
574,1
575,1
576,10
577,1
578,1
579,1
580,1
581,2
582,2
583,1
584,1
585,1
586,1
587,1
588,1
589,3
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,3
598,1
599,1
600,9
601,1
602,6
603,1
604,1
605,6
606,10
607,1
608,1
609,1
610,1
611,2
612,1
613,2
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,2
623,1
624,1
625,10
626,1
627,1
628,1
629,1
630,4
631,5
632,1
633,1
634,3
635,1
636,2
637,1
638,1
639,1
640,9
641,1
642,4
643,1
644,1
645,1
646,1
647,1
648,4
649,5
650,1
651,1
652,3
653,4
654,1
655,5
656,1
657,1
658,2
659,1
660,2
661,2
662,1
663,1
664,1
665,1
666,2
667,8
668,1
669,5
670,3
671,4
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,3
680,1
681,8
682,1
683,3
684,4
685,5
686,5
687,1
688,1
689,6
690,1
691,1
692,5
693,1
694,2
695,1
696,1
697,1
698,1
699,6
700,1
701,3
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,9
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,3
719,1
720,3
721,2
722,1
723,2
724,1
725,1
726,1
727,2
728,1
729,1
730,1
731,5
732,1
733,7
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,2
743,1
744,1
745,3
746,2
747,3
748,1
749,1
750,2
751,1
752,10
753,1
754,1
755,8
756,1
757,1
758,1
759,3
760,1
761,1
762,1
763,1
764,2
765,1
766,1
767,1
768,1
769,5
770,1
771,4
772,5
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,2
781,1
782,1
783,1
784,6
785,1
786,1
787,1
788,6
789,1
790,1
791,1
792,1
793,1
794,2
795,1
796,1
797,1
798,1
799,1
800,2
801,1
802,1
803,8
804,1
805,1
806,1
807,3
808,1
809,1
810,1
811,3
812,1
813,1
814,1
815,7
816,8
817,2
818,1
819,10
820,4
821,7
822,1
823,3
824,1
825,7
826,8
827,4
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,6
842,3
843,4
844,2
845,1
846,1
847,1
848,1
849,2
850,3
851,6
852,1
853,3
854,6
855,1
856,1
857,1
858,3
859,5
860,8
861,1
862,1
863,3
864,1
865,6
866,1
867,1
868,2
869,8
870,10
871,1
872,1
873,1
874,1
875,4
876,3
877,3
878,1
879,1
880,1
881,6
882,1
883,8
884,1
885,2
886,3
887,1
888,1
889,2
890,4
891,1
892,1
893,1
894,6
895,1
896,1
897,1
898,5
899,1
900,1
901,1
902,1
903,8
904,1
905,1
906,1
907,1
908,4
909,1
910,10
911,1
912,6
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,2
929,10
930,1
931,6
932,1
933,1
934,1
935,4
936,1
937,1
938,8
939,6
940,1
941,1
942,7
943,2
944,2
945,1
946,1
947,1
948,4
949,4
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,5
961,2
962,1
963,5
964,1
965,8
966,1
967,3
968,1
969,1
970,7
971,2
972,2
973,1
974,8
975,4
976,2
977,4
978,6
979,1
980,8
981,1
982,1
983,1
984,1
985,1
986,1
987,3
988,2
989,2
990,3
991,1
992,1
993,1
994,1
995,1
996,1
997,2
998,1
999,1
1000,2
1001,1
1002,1
1003,1
1004,4
1005,2
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,2
1013,7
1014,7
1015,1
1016,1
1017,1
1018,1
1019,1
1020,9
1021,1
1022,1
1023,1
1024,3
1025,1
1026,7
1027,5
1028,1
1029,1
1030,2
1031,1
1032,3
1033,1
1034,1
1035,1
1036,8
1037,1
1038,10
1039,1
1040,1
1041,7
1042,1
1043,4
1044,5
1045,4
1046,1
1047,2
1048,1
1049,10
1050,1
1051,2
1052,1
1053,5
1054,7
1055,1
1056,7
1057,1
1058,1
1059,6
1060,1
1061,1
1062,1
