Sample_id,Sample_label
0,3
1,9
2,1
3,1
4,1
5,1
6,9
7,1
8,1
9,2
10,1
11,10
12,3
13,1
14,1
15,1
16,3
17,1
18,3
19,2
20,2
21,1
22,1
23,2
24,1
25,4
26,2
27,5
28,1
29,1
30,4
31,1
32,1
33,10
34,4
35,2
36,1
37,1
38,1
39,2
40,1
41,2
42,3
43,8
44,1
45,2
46,2
47,1
48,8
49,8
50,2
51,3
52,7
53,1
54,3
55,3
56,9
57,1
58,3
59,1
60,1
61,1
62,2
63,1
64,1
65,1
66,1
67,4
68,2
69,1
70,1
71,1
72,1
73,7
74,1
75,2
76,2
77,3
78,9
79,10
80,3
81,1
82,1
83,2
84,3
85,1
86,4
87,6
88,8
89,1
90,10
91,2
92,1
93,1
94,1
95,1
96,5
97,8
98,2
99,3
100,1
101,4
102,5
103,1
104,4
105,1
106,1
107,1
108,2
109,1
110,3
111,2
112,1
113,8
114,1
115,4
116,1
117,1
118,1
119,1
120,1
121,1
122,4
123,1
124,3
125,9
126,1
127,1
128,2
129,2
130,5
131,1
132,1
133,10
134,1
135,4
136,6
137,3
138,1
139,1
140,1
141,1
142,1
143,1
144,10
145,1
146,1
147,1
148,3
149,2
150,2
151,4
152,2
153,4
154,6
155,1
156,8
157,1
158,1
159,1
160,1
161,7
162,5
163,2
164,10
165,1
166,10
167,1
168,6
169,4
170,2
171,1
172,1
173,1
174,1
175,2
176,2
177,1
178,10
179,1
180,1
181,1
182,2
183,6
184,5
185,1
186,3
187,6
188,1
189,10
190,10
191,2
192,1
193,3
194,1
195,3
196,2
197,1
198,2
199,1
200,2
201,1
202,4
203,1
204,10
205,1
206,2
207,2
208,1
209,3
210,1
211,4
212,4
213,1
214,1
215,1
216,1
217,2
218,1
219,2
220,5
221,1
222,1
223,1
224,4
225,2
226,1
227,4
228,3
229,1
230,3
231,5
232,10
233,1
234,1
235,1
236,3
237,5
238,1
239,3
240,8
241,1
242,1
243,1
244,1
245,1
246,3
247,2
248,2
249,2
250,1
251,7
252,1
253,10
254,1
255,7
256,1
257,1
258,1
259,4
260,8
261,2
262,1
263,5
264,1
265,4
266,1
267,1
268,2
269,1
270,2
271,2
272,10
273,9
274,8
275,1
276,1
277,1
278,4
279,1
280,4
281,1
282,1
283,1
284,8
285,2
286,3
287,10
288,1
289,1
290,1
291,1
292,3
293,1
294,6
295,6
296,1
297,1
298,1
299,1
300,1
301,1
302,9
303,1
304,9
305,1
306,1
307,1
308,5
309,1
310,1
311,3
312,4
313,3
314,2
315,3
316,2
317,1
318,2
319,1
320,1
321,2
322,1
323,1
324,1
325,8
326,6
327,1
328,1
329,1
330,4
331,1
332,10
333,1
334,1
335,7
336,1
337,8
338,3
339,4
340,1
341,4
342,1
343,10
344,1
345,2
346,3
347,3
348,5
349,1
350,1
351,3
352,5
353,1
354,1
355,1
356,1
357,3
358,1
359,1
360,1
361,1
362,1
363,2
364,2
365,3
366,1
367,1
368,2
369,6
370,8
371,2
372,1
373,8
374,1
375,5
376,2
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,3
386,3
387,1
388,1
389,2
390,4
391,1
392,9
393,1
394,4
395,7
396,1
397,10
398,8
399,1
400,2
401,1
402,4
403,2
404,2
405,2
406,2
407,1
408,1
409,1
410,1
411,4
412,8
413,1
414,2
415,1
416,9
417,1
418,6
419,3
420,1
421,2
422,10
423,1
424,1
425,4
426,2
427,4
428,1
429,3
430,1
431,1
432,1
433,4
434,1
435,1
436,3
437,2
438,5
439,10
440,10
441,1
442,1
443,1
444,3
445,3
446,1
447,1
448,2
449,1
450,1
451,2
452,1
453,1
454,7
455,3
456,3
457,8
458,1
459,1
460,5
461,1
462,10
463,1
464,1
465,1
466,1
467,3
468,5
469,8
470,1
471,1
472,2
473,1
474,2
475,1
476,2
477,4
478,1
479,9
480,3
481,1
482,4
483,2
484,1
485,3
486,1
487,1
488,7
489,4
490,2
491,6
492,1
493,3
494,2
495,1
496,3
497,4
498,1
499,1
500,8
501,1
502,1
503,1
504,1
505,1
506,1
507,9
508,2
509,1
510,4
511,10
512,1
513,2
514,3
515,4
516,2
517,4
518,1
519,1
520,3
521,1
522,1
523,1
524,1
525,1
526,5
527,7
528,1
529,6
530,2
531,1
532,6
533,1
534,1
535,1
536,2
537,1
538,3
539,2
540,1
541,3
542,10
543,4
544,3
545,2
546,2
547,1
548,1
549,1
550,1
551,4
552,8
553,10
554,1
555,2
556,1
557,4
558,4
559,1
560,1
561,4
562,2
563,9
564,1
565,1
566,1
567,10
568,2
569,3
570,8
571,1
572,1
573,1
574,1
575,2
576,4
577,1
578,4
579,2
580,3
581,4
582,1
583,1
584,2
585,1
586,1
587,1
588,9
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,10
597,1
598,6
599,1
600,1
601,3
602,3
603,1
604,2
605,1
606,1
607,1
608,2
609,1
610,10
611,1
612,3
613,3
614,5
615,9
616,2
617,1
618,2
619,1
620,1
621,1
622,1
623,1
624,2
625,1
626,4
627,1
628,3
629,4
630,4
631,1
632,2
633,2
634,1
635,4
636,3
637,1
638,1
639,1
640,2
641,4
642,1
643,8
644,1
645,1
646,2
647,9
648,1
649,1
650,3
651,1
652,6
653,2
654,2
655,1
656,6
657,10
658,1
659,4
660,3
661,1
662,1
663,2
664,4
665,10
666,9
667,1
668,3
669,10
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,2
679,1
680,1
681,1
682,1
683,2
684,5
685,6
686,1
687,3
688,2
689,1
690,1
691,6
692,1
693,1
694,8
695,1
696,1
697,6
698,10
699,3
700,2
701,2
702,1
703,4
704,1
705,2
706,1
707,6
708,8
709,1
710,1
711,2
712,1
713,1
714,7
715,3
716,1
717,9
718,1
719,1
720,3
721,2
722,6
723,2
724,6
725,1
726,3
727,1
728,1
729,7
730,1
731,1
732,6
733,1
734,5
735,1
736,1
737,2
738,4
739,1
740,1
741,1
742,8
743,1
744,4
745,3
746,4
747,1
748,5
749,1
750,1
751,2
752,2
753,8
754,9
755,1
756,1
757,1
758,8
759,1
760,7
761,1
762,1
763,2
764,1
765,3
766,1
767,4
768,9
769,1
770,1
771,1
772,1
773,1
774,1
775,4
776,1
777,1
778,1
779,10
780,1
781,7
782,1
783,9
784,1
785,1
786,2
787,3
788,1
789,1
790,1
791,1
792,1
793,3
794,1
795,1
796,3
797,1
798,1
799,8
800,1
801,1
802,6
803,1
804,1
805,2
806,1
807,1
808,1
809,2
810,8
811,10
812,2
813,1
814,2
815,1
816,6
817,1
818,10
819,1
820,1
821,1
822,2
823,1
824,3
825,6
826,1
827,1
828,1
829,2
830,1
831,3
832,1
833,8
834,8
835,1
836,3
837,2
838,9
839,1
840,2
841,2
842,1
843,2
844,3
845,7
846,1
847,1
848,5
849,3
850,4
851,1
852,2
853,8
854,1
855,1
856,1
857,2
858,3
859,6
860,1
861,3
862,2
863,1
864,4
865,3
866,1
867,2
868,3
869,2
870,1
871,1
872,1
873,1
874,9
875,10
876,4
877,5
878,1
879,1
880,2
881,4
882,2
883,2
884,10
885,2
886,4
887,1
888,8
889,1
890,1
891,4
892,1
893,1
894,1
895,1
896,1
897,1
898,2
899,6
900,1
901,2
902,2
903,10
904,6
905,2
906,1
907,8
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,5
916,1
917,4
918,6
919,1
920,1
921,1
922,1
923,1
924,4
925,3
926,1
927,6
928,9
929,1
930,2
931,1
932,2
933,2
934,2
935,1
936,1
937,5
938,5
939,1
940,5
941,1
942,4
943,3
944,2
945,1
946,8
947,1
948,2
949,2
950,1
951,1
952,1
953,4
954,1
955,6
956,1
957,3
958,1
959,8
960,2
961,2
962,3
963,1
964,3
965,1
966,9
967,6
968,5
969,1
970,4
971,1
972,1
973,9
974,3
975,3
976,2
977,2
978,9
979,6
980,2
981,1
982,1
983,4
984,8
985,1
986,4
987,10
988,4
989,2
990,2
991,1
992,5
993,1
994,4
995,3
996,1
997,5
998,3
999,1
1000,1
1001,5
1002,5
1003,3
1004,5
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,4
1012,2
1013,1
1014,4
1015,1
1016,1
1017,1
1018,1
1019,3
1020,1
1021,3
1022,1
1023,1
1024,4
1025,3
1026,1
