Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
0,0.1206,0.1137,0.4014,0.0237,0.0928,0.0889,0.0855,0.0055,0.0125,0.0554
1,0.0820,0.0348,0.2154,0.0072,0.0808,0.0226,0.0610,0.0504,0.4245,0.0215
2,0.6999,0.0222,0.0009,0.0128,0.0806,0.0689,0.0337,0.0609,0.0038,0.0164
3,0.7464,0.1099,0.0116,0.0009,0.0493,0.0067,0.0493,0.0113,0.0061,0.0085
4,0.7212,0.0223,0.0165,0.0183,0.0183,0.0955,0.0393,0.0312,0.0144,0.0230
5,0.6426,0.0237,0.0058,0.0033,0.0944,0.0679,0.0294,0.1159,0.0059,0.0110
6,0.2766,0.0610,0.0945,0.0531,0.1414,0.1672,0.0431,0.0099,0.1024,0.0508
7,0.8830,0.0123,0.0003,0.0189,0.0170,0.0073,0.0236,0.0303,0.0003,0.0069
8,0.7669,0.0030,0.0416,0.0064,0.0875,0.0428,0.0302,0.0060,0.0078,0.0078
9,0.3344,0.4729,0.0188,0.0063,0.0100,0.0034,0.0192,0.0611,0.0374,0.0364
10,0.6341,0.0370,0.0847,0.0160,0.0617,0.0607,0.0502,0.0431,0.0014,0.0111
11,0.2971,0.0367,0.1367,0.1142,0.1789,0.0051,0.0766,0.0269,0.0006,0.1272
12,0.5132,0.0252,0.3767,0.0043,0.0282,0.0204,0.0190,0.0014,0.0056,0.0061
13,0.6993,0.0015,0.0181,0.0687,0.0555,0.0151,0.0089,0.0431,0.0353,0.0545
14,0.8106,0.0491,0.0028,0.0487,0.0007,0.0164,0.0478,0.0008,0.0010,0.0222
15,0.6897,0.0652,0.0016,0.0227,0.0654,0.0121,0.0497,0.0702,0.0042,0.0194
16,0.2459,0.0733,0.3240,0.0070,0.1235,0.1249,0.0211,0.0285,0.0265,0.0252
17,0.7046,0.0932,0.0813,0.0000,0.0374,0.0449,0.0160,0.0072,0.0086,0.0069
18,0.3306,0.0097,0.3175,0.0013,0.0195,0.2490,0.0269,0.0232,0.0045,0.0178
19,0.2874,0.4981,0.0015,0.0269,0.0218,0.0362,0.0155,0.0049,0.0994,0.0083
20,0.3188,0.5551,0.0575,0.0006,0.0113,0.0135,0.0222,0.0014,0.0010,0.0185
21,0.7680,0.0166,0.1043,0.0084,0.0078,0.0424,0.0232,0.0015,0.0095,0.0183
22,0.7354,0.0362,0.0329,0.0231,0.0742,0.0301,0.0317,0.0223,0.0007,0.0135
23,0.4868,0.2972,0.0046,0.0570,0.0112,0.0593,0.0381,0.0336,0.0011,0.0110
24,0.6236,0.1093,0.0828,0.0061,0.0113,0.0296,0.0355,0.0868,0.0013,0.0138
25,0.1372,0.1302,0.0214,0.5205,0.0651,0.0195,0.0514,0.0075,0.0039,0.0433
26,0.0517,0.5753,0.1762,0.0113,0.0408,0.0798,0.0184,0.0009,0.0275,0.0181
27,0.4115,0.0234,0.1371,0.0171,0.1431,0.0365,0.0289,0.1457,0.0297,0.0271
28,0.5075,0.0143,0.0227,0.0263,0.0681,0.0917,0.0297,0.1115,0.0818,0.0463
29,0.7033,0.0126,0.0100,0.0054,0.0571,0.1442,0.0306,0.0281,0.0041,0.0046
30,0.1192,0.0318,0.0048,0.6098,0.0408,0.0609,0.0469,0.0427,0.0021,0.0410
31,0.7886,0.0678,0.0235,0.0030,0.0377,0.0134,0.0407,0.0053,0.0028,0.0171
32,0.6566,0.0353,0.0166,0.0138,0.0396,0.0337,0.0509,0.1285,0.0063,0.0188
33,0.2935,0.0160,0.0330,0.1862,0.0789,0.0996,0.0436,0.1233,0.0405,0.0854
34,0.3470,0.1015,0.0094,0.4695,0.0102,0.0267,0.0144,0.0047,0.0034,0.0133
35,0.0206,0.5488,0.0022,0.1010,0.0248,0.1386,0.0275,0.0951,0.0028,0.0385
36,0.7521,0.0203,0.0292,0.0104,0.0547,0.0449,0.0311,0.0375,0.0040,0.0156
37,0.7652,0.0126,0.0043,0.0020,0.0557,0.0699,0.0491,0.0194,0.0149,0.0069
38,0.7415,0.0876,0.0308,0.0032,0.0501,0.0143,0.0169,0.0221,0.0262,0.0073
39,0.2144,0.4694,0.0299,0.0924,0.0617,0.0451,0.0528,0.0098,0.0092,0.0153
40,0.6912,0.0147,0.0258,0.0055,0.0771,0.0503,0.0349,0.0361,0.0292,0.0352
41,0.3274,0.5986,0.0032,0.0146,0.0124,0.0072,0.0117,0.0014,0.0055,0.0180
42,0.1987,0.0010,0.5061,0.0008,0.0020,0.0909,0.0208,0.1467,0.0094,0.0236
43,0.3889,0.1500,0.1803,0.0332,0.0179,0.0318,0.0419,0.1220,0.0135,0.0206
44,0.6437,0.1332,0.0026,0.0921,0.0288,0.0165,0.0346,0.0174,0.0115,0.0196
45,0.1835,0.7056,0.0037,0.0104,0.0603,0.0072,0.0200,0.0020,0.0027,0.0046
46,0.2671,0.6433,0.0021,0.0225,0.0164,0.0131,0.0224,0.0008,0.0077,0.0044
47,0.6511,0.0653,0.0085,0.0050,0.0782,0.0391,0.0496,0.0121,0.0763,0.0148
48,0.3891,0.0508,0.0052,0.1305,0.0824,0.0514,0.0275,0.2352,0.0035,0.0243
49,0.4489,0.0876,0.0101,0.0611,0.0575,0.1320,0.0512,0.1001,0.0354,0.0161
50,0.0790,0.8585,0.0468,0.0019,0.0010,0.0054,0.0062,0.0000,0.0008,0.0004
51,0.2580,0.0144,0.4717,0.0417,0.0485,0.1053,0.0325,0.0061,0.0141,0.0077
52,0.3056,0.0546,0.0508,0.1847,0.1635,0.0775,0.1078,0.0108,0.0150,0.0296
53,0.5834,0.0112,0.0006,0.0798,0.0308,0.0329,0.0264,0.2049,0.0111,0.0189
54,0.0192,0.0377,0.8265,0.0037,0.0234,0.0570,0.0171,0.0055,0.0063,0.0037
55,0.0963,0.0205,0.7241,0.0121,0.0534,0.0335,0.0262,0.0043,0.0099,0.0198
56,0.1496,0.0647,0.1037,0.0321,0.1187,0.0552,0.0486,0.0049,0.3749,0.0478
57,0.7128,0.1145,0.0145,0.0010,0.0481,0.0097,0.0408,0.0242,0.0166,0.0178
58,0.0172,0.0563,0.7776,0.0016,0.0220,0.0847,0.0091,0.0002,0.0258,0.0055
59,0.6650,0.0310,0.0401,0.0273,0.0349,0.1147,0.0294,0.0469,0.0011,0.0097
60,0.6464,0.0070,0.0044,0.0641,0.0551,0.0967,0.0484,0.0361,0.0145,0.0274
61,0.9147,0.0037,0.0095,0.0023,0.0135,0.0208,0.0097,0.0043,0.0050,0.0164
62,0.1388,0.4552,0.0113,0.1597,0.0403,0.1226,0.0247,0.0285,0.0051,0.0140
63,0.7556,0.0060,0.0598,0.0023,0.0615,0.0058,0.0303,0.0580,0.0056,0.0151
64,0.5708,0.0301,0.0185,0.0245,0.0872,0.1145,0.0472,0.0498,0.0322,0.0252
65,0.6093,0.3531,0.0022,0.0044,0.0046,0.0002,0.0068,0.0010,0.0021,0.0162
66,0.6552,0.0264,0.0434,0.0724,0.0240,0.0660,0.0246,0.0637,0.0103,0.0140
67,0.0446,0.3944,0.0027,0.4604,0.0371,0.0156,0.0297,0.0031,0.0022,0.0101
68,0.1125,0.6012,0.0243,0.0665,0.0890,0.0286,0.0522,0.0023,0.0069,0.0166
69,0.6063,0.0662,0.1853,0.0082,0.0440,0.0227,0.0357,0.0142,0.0050,0.0125
70,0.6504,0.0314,0.0171,0.0001,0.0724,0.0372,0.0219,0.1536,0.0083,0.0075
71,0.6629,0.0368,0.0164,0.0282,0.1106,0.0299,0.0504,0.0115,0.0330,0.0203
72,0.6528,0.0070,0.0054,0.0524,0.0235,0.0649,0.0110,0.1528,0.0082,0.0220
73,0.3507,0.0197,0.0737,0.0726,0.1695,0.0424,0.1637,0.0554,0.0038,0.0484
74,0.7205,0.0068,0.0161,0.0099,0.0242,0.0102,0.0277,0.1643,0.0030,0.0171
75,0.0036,0.7643,0.2177,0.0003,0.0009,0.0008,0.0054,0.0000,0.0014,0.0055
76,0.4226,0.4462,0.0006,0.0012,0.0037,0.0553,0.0088,0.0527,0.0002,0.0088
77,0.0998,0.1148,0.5514,0.0080,0.0463,0.1051,0.0256,0.0008,0.0207,0.0276
78,0.3251,0.0472,0.0585,0.0212,0.0236,0.1763,0.0364,0.0179,0.2660,0.0279
79,0.3345,0.0963,0.0561,0.0904,0.0533,0.0838,0.0664,0.1304,0.0139,0.0749
80,0.0935,0.0578,0.3985,0.0444,0.0494,0.2359,0.0149,0.0016,0.0747,0.0293
81,0.7354,0.0599,0.0136,0.0098,0.0686,0.0174,0.0510,0.0301,0.0030,0.0111
82,0.6669,0.0680,0.0020,0.0071,0.0951,0.0209,0.0622,0.0266,0.0224,0.0289
83,0.3095,0.4441,0.0005,0.1536,0.0105,0.0498,0.0209,0.0041,0.0008,0.0060
84,0.0163,0.0921,0.5695,0.0035,0.0039,0.0899,0.0151,0.0018,0.1967,0.0111
85,0.8436,0.0196,0.0038,0.0021,0.0409,0.0103,0.0349,0.0251,0.0029,0.0168
86,0.3401,0.0286,0.0032,0.5598,0.0000,0.0071,0.0420,0.0003,0.0003,0.0185
87,0.0917,0.2476,0.1909,0.0320,0.0279,0.3242,0.0299,0.0028,0.0059,0.0470
88,0.3615,0.0084,0.0414,0.0684,0.0186,0.0673,0.0552,0.3203,0.0069,0.0521
89,0.6335,0.0248,0.0229,0.0225,0.0209,0.0798,0.0455,0.1164,0.0204,0.0131
