Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.1149,0.1123,0.2459,0.0082,0.0308,0.2664,0.0222,0.0014,0.1943,0.0037
2,0.1286,0.1685,0.2838,0.0107,0.0229,0.1218,0.0164,0.0022,0.2406,0.0044
3,0.9249,0.0124,0.0007,0.0089,0.0132,0.0037,0.0183,0.0140,0.0002,0.0037
4,0.9923,0.0027,0.0001,0.0003,0.0016,0.0002,0.0019,0.0006,0.0000,0.0004
5,0.9921,0.0032,0.0001,0.0006,0.0013,0.0002,0.0018,0.0005,0.0000,0.0004
6,0.2604,0.0018,0.0035,0.0051,0.0328,0.0258,0.0179,0.6254,0.0014,0.0259
7,0.1585,0.0221,0.0093,0.0418,0.2849,0.2722,0.0618,0.0211,0.0679,0.0604
8,0.7703,0.0096,0.0031,0.0092,0.0171,0.0088,0.0166,0.1547,0.0004,0.0105
9,0.8636,0.0063,0.0024,0.0016,0.0235,0.0035,0.0118,0.0819,0.0002,0.0053
10,0.6944,0.2470,0.0393,0.0035,0.0068,0.0020,0.0045,0.0010,0.0005,0.0010
11,0.9889,0.0025,0.0002,0.0003,0.0034,0.0009,0.0022,0.0012,0.0000,0.0005
12,0.7297,0.0366,0.0035,0.1318,0.0140,0.0061,0.0269,0.0341,0.0003,0.0170
13,0.9267,0.0109,0.0006,0.0083,0.0125,0.0023,0.0198,0.0144,0.0001,0.0043
14,0.2142,0.0195,0.0016,0.3670,0.0713,0.0918,0.0429,0.0777,0.0066,0.1076
15,0.6627,0.1913,0.0017,0.1295,0.0027,0.0015,0.0079,0.0010,0.0001,0.0016
16,0.7749,0.0121,0.0004,0.0687,0.0080,0.0025,0.0232,0.0953,0.0001,0.0149
17,0.2761,0.0220,0.0336,0.0302,0.2262,0.2244,0.0526,0.0243,0.0615,0.0492
18,0.9963,0.0021,0.0001,0.0002,0.0006,0.0001,0.0004,0.0002,0.0000,0.0001
19,0.0289,0.0138,0.7601,0.0018,0.0101,0.0441,0.0089,0.0021,0.1280,0.0023
20,0.9319,0.0312,0.0003,0.0068,0.0131,0.0023,0.0110,0.0013,0.0002,0.0018
21,0.2242,0.7490,0.0075,0.0116,0.0016,0.0018,0.0034,0.0003,0.0002,0.0004
22,0.2739,0.0420,0.0383,0.0115,0.1236,0.3790,0.0261,0.0042,0.0852,0.0163
23,0.7202,0.1642,0.0050,0.0813,0.0107,0.0027,0.0118,0.0015,0.0002,0.0024
